EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.

AB549332	Takasaki,T., Tajima,S. and Kotaki,A.

KX812502	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812503	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KF184975	Sessions,O.M., Hou,Y., Meltzer,E., Schwartz,E., Gubler,D.J. and Wilder-Smith,A.
KX812511	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812509	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812510	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812501	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812508	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

MN577551	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577559	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
KX812500	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812506	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

MN577560	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577561	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577562	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MN577563	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
KM892493	Jaswant,G., Mosha,F., Makange,M.R., Riwa,C. and Misinzo,G.

KX812504	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812507	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

KX812505	Konongoi,S.L., Ofula,V., Nyunja,A.O. and Sang,R.

MN577565	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
AB908053	Parreira,R. and Centeno-Lima,S.

KM892496	Jaswant,G., Mosha,F., Makange,M.R., Riwa,C. and Misinzo,G.

KM892495	Jaswant,G., Mosha,F., Makange,M.R., Riwa,C. and Misinzo,G.

KM892494	Jaswant,G., Mosha,F., Makange,M.R., Riwa,C. and Misinzo,G.

MN577552	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MZ520905	Navero-Castillejos,J., Peiro-Mestres,A., Gonzalo-Abril,V. and Martinez-Yoldi,M.J.
KT288898	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
KT288895	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
KT288896	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
KT288897	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
KT288901	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
KT288900	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
KT288902	Carletti,F., Meschi,S., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P. and Di Caro,A.
KT288899	Meschi,S., Carletti,F., Vairo,F., De Nardo,P., Castilletti,C., Nicastri,E., Ippolito,G., Capobianchi,M.R., Colavita,F., Mhina,A., Riwa,C., Quartu,S., Zaccaro,P., Di Caro,A. and Oriyo,N.
MG189962	Meschi,S., Vairo,F., Mboera,L.E.G., De Nardo,P., Oriyo,N.M., Colavita,F., Quartu,S., Caglioti,C., Zaccaro,P., Carletti,F., Capobianchi,M.R., Castilletti,C., Di Caro,A., Malecela,M.N. and Ippolito,G.
KU886233	Shija,F., Jaswant,G., Kifaro,E.G., Shao,E.R., Kavishe,R.A., Nyombi,B.M., Mosha,F., Mboera,L.G. and Misinzo,G.
MN577564	Langat,S.K., Eyase,F.L., Berry,I.M., Nyunja,A., Bulimo,W.D., Owaka,S., Ofula,V., Limbaso,S., Lutomia,J., Jarman,R., Distelhorst,J. and Sang,R.C.
MZ857213	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MH456899	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456894	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456896	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456898	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
