"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"1","Ross low-psg","Chikungunya virus","HM045811","11775","-N/A-","02/22/1953",1953-02-22,"Human","Homo sapiens","Tanzania","genomic RNA",11775,0.98125,">90%","Africa","Southern Africa"
"2","'Vereeniging'","Chikungunya virus","HM045792","11836","-N/A-","04/1956",1956-04-01,"Human","Homo sapiens","South Africa","genomic RNA",11836,0.986333333333333,">90%","Africa","Southern Africa"
"3","A301","Chikungunya virus","HM045821","11823","-N/A-","03/20/1963",1963-03-20,"Bat","Chiroptera","Senegal","genomic RNA",11823,0.98525,">90%","Africa","Western Africa"
"4","Gibbs 63-263","Chikungunya virus","HM045813","11976","-N/A-","11/06/1963",1963-11-06,"Human","Homo sapiens","India","genomic RNA",11976,0.998,">90%","Asia","India+"
"5","I-634029","Chikungunya virus","HM045803","11897","-N/A-","11/06/1963",1963-11-06,"Human","Homo sapiens","India","genomic RNA",11897,0.991416666666667,">90%","Asia","India+"
"6","IbH35","Chikungunya virus","HM045786","11844","-N/A-","07/07/1964",1964-07-07,"Human","Homo sapiens","Nigeria","genomic RNA",11844,0.987,">90%","Africa","Western Africa"
"7","IbAn4824","Chikungunya virus","HM045807","11843","-N/A-","04/13/1965",1965-04-13,"Mouse","sentinel mouse","Nigeria","genomic RNA",11843,0.986916666666667,">90%","Africa","Western Africa"
"8","SH2830","Chikungunya virus","HM045798","11832","-N/A-","11/1966",1966-11-01,"Human","Homo sapiens","Senegal","genomic RNA",11832,0.986,">90%","Africa","Western Africa"
"9","PM2951","Chikungunya virus","HM045785","11844","-N/A-","11/1966",1966-11-01,"Mosquito","Aedes aegypti","Senegal","genomic RNA",11844,0.987,">90%","Africa","Western Africa"
"10","SH 3013","Chikungunya virus","HM045816","11823","-N/A-","11/23/1966",1966-11-23,"Human","Homo sapiens","Senegal","genomic RNA",11823,0.98525,">90%","Africa","Western Africa"
"11","ArB6445","Chikungunya virus","KY038946","11805","-N/A-","06/1975",1975-06-01,"Insect","Aedes opok","Central African Republic","genomic RNA",11805,0.98375,">90%","Africa","Western Africa"
"12","HB78","Chikungunya virus","HM045822","11753","-N/A-","10/1978",1978-10-01,"Human","Homo sapiens","Central African Republic","genomic RNA",11753,0.979416666666667,">90%","Africa","Western Africa"
"13","ArD 30237","Chikungunya virus","HM045815","11823","-N/A-","02/1979",1979-02-01,"Mosquito","Aedes luteocephalus","Senegal","genomic RNA",11823,0.98525,">90%","Africa","Western Africa"
"14","ArA 2657","Chikungunya virus","HM045818","11823","-N/A-","09/1981",1981-09-01,"Mosquito","Aedes luteocephalus","Ivory Coast","genomic RNA",11823,0.98525,">90%","Africa","Western Africa"
"15","UgAg4155","Chikungunya virus","HM045812","11774","-N/A-","29952",1982-01-01,"Human","Homo sapiens","Uganda","genomic RNA",11774,0.981166666666667,">90%","Africa","Eastern Africa"
"16","JKT23574","Chikungunya virus","HM045791","11992","-N/A-","30317",1983-01-01,"Human","Homo sapiens","Indonesia","genomic RNA",11992,0.999333333333333,">90%","Asia","Indonesia+"
"17","CHIKV/Aedes furcifer/SEN/37937/1983","Chikungunya virus","KX262986","11707","-N/A-","30317",1983-01-01,"Mosquito","Aedes furcifer","Senegal","genomic RNA",11707,0.975583333333333,">90%","Africa","Western Africa"
"18","Chikungunya virus/A.furcifer-wt/Senegal/1983/37997","Chikungunya virus","MK028837","12197","-N/A-","30317",1983-01-01,"Mosquito","Aedes furcifer","Senegal","genomic RNA",12197,1.01641666666667,">90%","Africa","Western Africa"
"19","CHIKV/Aedes furcifer/SEN/37950/1983","Chikungunya virus","KX262995","11715","-N/A-","07/10/1983",1983-07-10,"Mosquito","Aedes furcifer","Senegal","genomic RNA",11715,0.97625,">90%","Africa","Western Africa"
"20","HB84P07","Chikungunya virus","KY038947","11786","-N/A-","12/1983",1983-12-01,"Human","Homo sapiens","Central African Republic","genomic RNA",11786,0.982166666666667,">90%","Africa","Western Africa"
"21","DakAr B 16878","Chikungunya virus","HM045784","11772","-N/A-","11/19/1984",1984-11-19,"Mosquito","Anopheles (Ceilia) funestus","Central African Republic","genomic RNA",11772,0.981,">90%","Africa","Western Africa"
"22","RSU1","Chikungunya virus","HM045797","11979","-N/A-","31048",1985-01-01,"Human","Homo sapiens","Indonesia","genomic RNA",11979,0.99825,">90%","Asia","Indonesia+"
